,,,,,,,,,,,,,,,,,
NAME,REST_NAME,CALORIES,CATEGORY,PRICE,ALLERGEN 1,ALLERGEN 2,ALLERGEN 3,ALLERGEN 4,ALLERGEN 5,ALLERGEN 6,ALLERGEN 7,ALLERGEN 8,ALLERGEN 9,ALLERGEN 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3
APPLE RED DELICIOUS FANCY 125CT,SDH,75,DINING HALL,,,,,,,,,,,,FRUIT,APPLE,APPLE
JAPANESE UDON NOODLES,SDH,171,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,NOODLES,ASIAN,ASIAN
CHICKEN POPPERS WITH GENERAL TSO'S SAUCE,SDH,197,DINING HALL,,SOY,WHEAT,,,,,,,,,CHICKEN,ASIAN,MEAT
ORANGE BEEF,SDH,249,DINING HALL,,SOY,WHEAT,,,,,,,,,MEAT,ASIAN,ASIAN
KOREAN GUCHUL PAN CHICKEN,SDH,83,DINING HALL,,SOY,,,,,,,,,,CHICKEN,ASIAN,ASIAN
LO MEIN,SDH,355,DINING HALL,,WHEAT,,,,,,,,,,NOODLES,ASIAN,ASIAN
VEGAN BENEDICT WITH AVOCADO,SDH,266,DINING HALL,,SOY,TREE NUTS,WHEAT,,,,,,,,VEGAN,AVOCADO,VEGETABLES
BANANA NUT BREAD,SDH,177,DINING HALL,,EGGS,MILK,TREE NUTS,WHEAT,,,,,,,BREAD,BANANA,BANANA
BANANA SPLIT ICE CREAM,SDH,244,DINING HALL,,MILK,SOY,,,,,,,,,ICE CREAM,BANANA,BANANA
MEATBALLS,SDH,270,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,MEAT,BEEF,BEEF
MEATBALL GRINDER,SDH,411,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,MEAT,BEEF,BEEF
BLUEBERRY PANCAKES,SDH,169,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PANCAKES,BLUEBERRY,BLUEBERRY
BREADED CHEESE STICKS,SDH,90,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,CHEESE,BREAD,BREAD
CAKE GERMAN CHOC 12X16 SHT,SDH,279,DINING HALL,,EGGS,MILK,SOY,TREE NUTS,WHEAT,,,,,,CHOCOLATE,BREAD,BREAD
PEANUT BUTTER AND JELLY BISMARK,SDH,372,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,DONUT,BREAD,BREAD
SCONES CHOCOLATE CHIP NDB,SDH,691,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,PASTRY,BREAD,BREAD
PITA WHEAT POCKET,SDH,162,DINING HALL,,SOY,WHEAT,,,,,,,,,PITA,BREAD,BREAD
STEAMED BROCCOLI CUTS,SDH,31,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
STRAWBERRY ICED CAKE DONUT,SDH,254,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,CAKE,CAKE
PIZZA CASSEROLE,SDH,415,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PIZZA,CASSEROLE,CASSEROLE
SDH CREAMY GEMELLI PASTA AND CHEDDAR SALAD,SDH,396,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PASTA,CHEESE,CHEESE
CHEESE PIZZA,SDH,185,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,PIZZA,CHEESE,CHEESE
GRILLED CHEESE ON WHITE,SDH,349,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,GRILLED CHEESE,CHEESE,BREAD
PENNE WITH GORGONZOLA,SDH,515,DINING HALL,,MILK,WHEAT,,,,,,,,,PASTA,CHEESE,CHEESE
JALAPENO CHEESE TORTILLA,SDH,290,DINING HALL,,WHEAT,,,,,,,,,,TORTILLA,CHEESE,CHEESE
CHERRY NUT ICE CREAM,NDH,244,DINING HALL,,MILK,PEANUTS,SOY,,,,,,,,ICE CREAM,CHERRY,NUTS
BONELESS WING STATION,SDH,800,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,WINGS,CHICKEN,MEAT
SHRIMP AND CHICKEN GUMBO,SDH,116,DINING HALL,,MILK,SHELLFISH,SOY,WHEAT,,,,,,,SEAFOOD,CHICKEN,MEAT
SOUTHERN STYLE CHICKEN SLIDER,SDH,490,DINING HALL,,MILK,WHEAT,,,,,,,,,BURGER,CHICKEN,MEAT
GENERAL TSO'S CHICKEN,SDH,160,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,CHICKEN,CHINESE,CHINESE
PANCAKES BANANA WHITE CHOCOLATE,SDH,161,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PANCAKES,CHOCOLATE,CHOCOLATE
CHOCOLATE CHUNK COOKIES,SDH,177,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,COOKIES,CHOCOLATE,CHOCOLATE
