NAME,LOCATION,MON,TUES,WED,THURS,FRIDAY,SAT,SUN
AU BON PAIN,HESBURGH LIBRARY,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,9:00 AM - 6:00 PM,9:00 AM - 7:00 PM,10:00 AM - 11:00 PM
AU BON PAIN CART,DEBARTOLO HALL,8:00 AM - 3:30 PM,8:30 AM - 3:30 PM,8:00 AM - 3:30 PM,8:30 AM - 3:30 PM,8:00 AM - 3:30 PM,NULL,NULL
CAFE DE GRASTA,GRACE HALL,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM
CAFE COMMONS,MENDOZA COLLEGE,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 4:00 PM,NULL,NULL
CHARRON FAMILY,,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 4:00 PM,NULL,NULL
CROSSINGS,ECK LAW,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 4:00 PM,NULL,NULL
DECIO,DECIO HALL,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,NULL,NULL
GARBANZO ,HESBURGH INTERNATIONAL STUDIES,10 AM - 4 PM,10 AM - 4 PM,10 AM - 4 PM,10 AM - 4 PM,10 AM - 4 PM,NULL,NULL
MCCOURTNEY EXPRESSO CART,,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,NULL,NULL
LEGENDS,LEGENDS,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 9:00 PM
PIZZA PI,SOUTH DINING HALL (PIZZA PI),NULL,NULL,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 3:00 PM
HAGERTY FAMILY CAFE,DUNCAN STUDENT CENTER,7:30 AM - 9:00 PM,7:30 AM - 9:00 PM,7:30 AM - 9:00 PM,7:30 AM - 9:00 PM,7:30 AM - 9:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM
MODERN MARKET,DUNCAN STUDENT CENTER,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,10:00 AM - 8:00 PM,
STAR GINGER,DUNCAN STUDENT CENTER,10:30 AM - 8:00 PM,10:30 AM - 8:00 PM,10:30 AM - 8:00 PM,10:30 AM - 8:00 PM,10:30 AM - 8:00 PM,NULL,NULL
SMASHBURGER,LAFORTUNE STUDENT CENTER,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM
STARBUCKS,LAFORTUNE STUDENT CENTER,7:30 AM - 1:00 AM,7:30 AM - 1:00 AM,7:30 AM - 1:00 AM,7:30 AM - 1:00 AM,7:30 AM - 1:00 AM,9:30 AM - 1:00 AM,9:30 AM - 1:00 AM
SUBWAY,LAFORTUNE STUDENT CENTER,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,9:30 AM - 1:00 AM,9:30 AM - 1:00 AM
TACO BELL PIZZA HUT,LAFORTUNE STUDENT CENTER,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 3:00 AM,6:00 PM - 3:00 AM,NULL
NDH,NORTH DINING HALL,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM
SDH,SOUTH DINING HALL,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM
ROHRS,MORRIS INN,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM
,,,,,,,,
,,,,,,,,
